,objective_function,edges_similarity,nodes_similarity
353,75002,24,85
354,75008,36,89
355,75009,36,85
356,75015,21,87
357,75015,7,87
358,75017,20,86
359,75018,14,86
360,75021,20,89
361,75032,36,88
362,75035,14,84
363,75036,18,87
364,75042,11,88
365,75042,24,84
366,75046,13,85
367,75046,25,85
368,75054,26,85
369,75056,10,86
370,75057,12,86
371,75059,24,87
372,75060,8,88
373,75065,30,87
374,75067,29,89
375,75068,14,85
376,75073,35,89
377,75073,15,85
378,75076,30,86
379,75086,15,83
380,75100,39,88
381,75100,18,91
382,75102,17,86
383,75104,19,86
384,75105,9,86
385,75107,10,80
386,75109,19,87
387,75118,23,87
388,75127,11,86
389,75128,17,86
390,75130,32,87
391,75131,20,87
392,75141,20,86
393,75146,27,89
394,75150,35,86
395,75155,23,85
396,75158,20,85
397,75161,21,88
398,75162,35,88
399,75166,27,88
400,75166,24,88
401,75169,22,84
402,75174,19,85
403,75175,15,86
404,75176,20,86
405,75176,10,85
406,75179,27,86
407,75180,25,90
408,75183,23,92
409,75188,14,85
410,75193,14,87
411,75197,14,87
412,75208,17,83
413,75209,24,86
414,75211,27,83
415,75223,13,89
416,75233,29,84
417,75233,14,90
418,75236,24,86
419,75240,15,84
420,75245,25,88
421,75249,26,84
422,75254,14,88
423,75259,29,86
424,75268,23,86
425,75270,11,88
426,75274,19,86
427,75282,3,88
428,75286,16,87
429,75289,13,86
430,75292,7,84
431,75293,18,86
432,75295,21,87
433,75295,22,84
434,75299,21,89
435,75300,30,84
436,75302,16,88
437,75311,31,86
438,75312,11,83
439,75313,11,88
440,75315,28,88
441,75317,16,84
442,75327,34,85
443,75330,32,85
444,75333,18,86
445,75337,26,87
446,75343,28,86
447,75345,32,86
448,75347,26,85
449,75350,15,83
450,75352,28,88
451,75356,25,88
452,75362,18,82
453,75364,29,88
454,75364,11,86
455,75367,22,87
456,75383,10,86
457,75388,31,88
458,75390,22,86
459,75390,35,86
460,75393,12,83
461,75398,30,86
462,75399,19,85
463,75400,10,88
464,75402,23,83
465,75415,15,83
466,75417,9,86
467,75422,17,89
468,75430,16,89
469,75432,15,85
470,75439,16,88
471,75440,16,89
472,75442,17,85
473,75450,17,87
474,75450,17,87
475,75453,24,88
476,75457,31,83
477,75457,19,84
478,75465,22,88
479,75473,16,84
480,75473,26,87
481,75474,35,88
482,75475,16,86
483,75486,11,85
484,75487,23,86
485,75500,24,87
486,75506,22,87
487,75508,18,84
488,75510,25,87
489,75514,12,86
490,75515,19,85
491,75517,28,87
492,75526,31,85
493,75529,31,83
494,75538,13,86
495,75539,22,87
496,75542,20,84
