,objective_function,edges_similarity,nodes_similarity
353,75000,16,83
354,75002,16,86
355,75008,18,82
356,75009,17,84
357,75015,13,84
358,75015,30,87
359,75017,22,81
360,75018,20,81
361,75021,25,83
362,75032,17,84
363,75035,27,87
364,75036,27,85
365,75042,14,82
366,75042,20,83
367,75046,34,88
368,75046,16,85
369,75054,15,88
370,75056,22,86
371,75057,17,82
372,75059,13,85
373,75060,18,85
374,75065,19,83
375,75067,19,81
376,75068,22,85
377,75073,12,80
378,75073,19,83
379,75076,16,84
380,75086,13,87
381,75100,15,84
382,75100,18,84
383,75102,25,83
384,75104,13,85
385,75105,26,81
386,75107,32,82
387,75109,26,82
388,75118,21,84
389,75127,22,84
390,75128,18,85
391,75130,15,84
392,75131,18,81
393,75141,20,83
394,75146,14,86
395,75150,13,81
396,75155,15,82
397,75158,11,85
398,75161,9,81
399,75162,19,85
400,75166,19,84
401,75166,14,83
402,75169,12,83
403,75174,20,86
404,75175,15,82
405,75176,14,81
406,75176,22,84
407,75179,16,88
408,75180,15,82
409,75183,8,82
410,75188,14,87
411,75193,13,80
412,75197,20,85
413,75208,22,84
414,75209,15,81
415,75211,13,81
416,75223,13,80
417,75233,14,82
418,75233,25,87
419,75236,19,84
420,75240,29,85
421,75245,14,83
422,75249,19,86
423,75254,20,81
424,75259,12,83
425,75268,17,87
426,75270,31,88
427,75274,14,87
428,75282,20,79
429,75286,21,80
430,75289,16,82
431,75292,19,83
432,75293,23,84
433,75295,16,81
434,75295,22,83
435,75299,10,81
436,75300,23,83
437,75302,11,84
438,75311,10,83
439,75312,19,86
440,75313,18,81
441,75315,17,82
442,75317,13,83
443,75327,12,82
444,75330,14,84
445,75333,16,80
446,75337,15,81
447,75343,19,81
448,75345,14,85
449,75347,11,82
450,75350,17,83
451,75352,8,80
452,75356,11,82
453,75362,17,82
454,75364,15,78
455,75364,17,82
456,75367,37,90
457,75383,19,87
458,75388,14,83
459,75390,18,87
460,75390,20,82
461,75393,16,81
462,75398,21,83
463,75399,22,83
464,75400,21,84
465,75402,16,85
466,75415,31,86
467,75417,15,85
468,75422,23,85
469,75430,15,79
470,75432,16,85
471,75439,25,82
472,75440,15,78
473,75442,15,83
474,75450,25,87
475,75450,17,84
476,75453,18,81
477,75457,15,89
478,75457,16,84
479,75465,14,85
480,75473,14,84
481,75473,17,82
482,75474,19,81
483,75475,25,89
484,75486,20,80
485,75487,14,84
486,75500,19,90
487,75506,18,84
488,75508,14,81
489,75510,8,81
490,75514,18,84
491,75515,12,82
492,75517,17,86
493,75526,16,82
494,75529,12,84
495,75538,15,78
496,75539,17,88
497,75542,7,83
498,75543,21,85
499,75550,10,81
500,75550,14,86
501,75551,12,82
502,75553,17,87
503,75553,20,83
504,75569,14,78
505,75569,20,87
506,75570,17,88
507,75572,11,80
508,75574,22,83
509,75588,23,83
510,75589,15,79
511,75593,15,86
512,75595,12,84
513,75595,17,82
514,75606,16,86
515,75607,23,87
516,75608,13,83
517,75609,9,84
518,75615,13,84
519,75620,21,84
520,75621,23,86
521,75626,28,84
522,75627,8,82
523,75628,13,80
524,75638,16,87
525,75641,14,82
526,75651,15,83
527,75652,19,84
528,75654,17,89
529,75655,26,89
530,75660,29,85
531,75664,13,81
532,75664,25,86
533,75669,18,89
534,75671,20,86
535,75672,13,85
536,75685,15,83
537,75688,21,80
538,75690,21,79
539,75699,16,86
540,75708,15,79
541,75712,18,86
542,75712,21,84
543,75715,12,78
544,75715,39,87
545,75719,23,85
546,75720,22,83
547,75721,20,84
548,75722,11,84
549,75728,11,80
550,75731,21,85
551,75743,15,86
552,75751,16,85
553,75758,13,82
554,75764,21,81
555,75768,24,80
556,75786,19,83
557,75794,23,80
558,75796,16,82
559,75798,17,83
560,75801,11,81
561,75808,18,82
562,75812,14,85
563,75815,18,85
564,75825,18,83
565,75833,20,85
566,75836,11,82
567,75840,23,81
568,75844,21,82
569,75850,13,82
570,75858,18,83
571,75858,13,85
572,75860,33,87
573,75861,21,85
574,75864,11,85
575,75867,21,84
576,75872,10,80
577,75881,14,80
578,75881,7,82
579,75883,26,83
580,75883,12,86
581,75884,16,86
582,75893,19,84
583,75894,11,82
584,75899,16,78
585,75907,22,80
586,75910,11,86
587,75915,23,83
588,75933,16,81
589,75934,10,81
590,75934,17,82
591,75936,19,81
592,75937,11,81
593,75939,13,84
594,75941,22,81
595,75950,21,84
596,75952,17,84
597,75952,24,84
598,75953,22,86
599,75961,14,82
600,75963,11,82
601,75963,21,88
602,75963,16,84
603,75965,17,89
604,75967,15,82
605,75968,17,82
606,75970,9,86
607,75970,16,86
608,75979,15,84
609,75982,26,89
610,75983,26,80
611,75984,22,85
612,75991,18,83
613,75998,9,82
614,75998,12,85
615,75999,13,83
616,76011,28,80
617,76012,9,86
618,76013,14,83
619,76021,28,81
620,76023,20,84
621,76030,22,79
622,76033,18,76
623,76034,19,84
624,76038,19,83
625,76038,26,86
626,76040,21,82
627,76040,14,81
628,76041,19,82
629,76044,22,86
630,76046,16,82
631,76049,15,85
632,76050,27,82
633,76052,26,85
634,76056,16,83
635,76072,19,85
636,76074,24,83
637,76075,23,84
638,76081,6,85
639,76081,14,82
640,76085,12,82
641,76087,16,85
642,76088,18,81
643,76090,22,88
644,76092,23,83
645,76099,16,83
646,76103,25,81
647,76107,19,83
648,76108,14,81
649,76110,18,81
650,76113,22,83
651,76113,16,86
652,76119,12,82
653,76122,16,84
654,76124,13,81
655,76124,17,81
656,76125,16,85
657,76126,9,84
658,76134,23,87
659,76137,15,78
660,76138,12,89
661,76149,18,81
662,76150,20,81
663,76151,10,82
664,76159,16,84
665,76162,17,83
666,76162,12,80
667,76167,18,84
668,76169,12,85
669,76171,14,81
670,76177,20,82
671,76179,11,82
672,76183,19,82
673,76183,20,80
674,76186,22,83
675,76195,17,81
676,76195,13,80
677,76201,25,85
678,76210,23,84
679,76213,13,82
680,76217,23,86
681,76218,22,86
682,76225,21,82
683,76252,23,83
684,76256,20,87
685,76257,22,82
686,76264,20,84
687,76266,23,83
688,76274,15,83
689,76276,13,82
690,76277,22,84
691,76281,16,84
692,76282,13,89
693,76287,23,84
694,76289,17,85
695,76295,16,83
696,76298,20,83
697,76302,24,83
698,76309,21,83
699,76311,16,82
700,76314,12,78
701,76320,12,84
702,76320,16,85
703,76321,16,86
704,76323,16,83
705,76325,17,78
706,76330,23,82
707,76333,18,84
708,76339,30,88
709,76340,19,84
710,76344,15,83
711,76351,14,80
712,76360,17,89
713,76371,17,82
714,76373,11,84
715,76377,23,84
716,76384,14,85
717,76385,20,79
718,76386,18,82
719,76390,15,86
720,76404,17,83
721,76405,21,86
722,76410,17,90
723,76414,19,82
724,76416,13,87
725,76424,16,84
726,76426,18,82
727,76427,16,84
728,76435,23,87
729,76452,9,81
730,76463,16,88
731,76471,16,82
732,76475,22,81
733,76486,25,87
734,76486,8,81
735,76488,8,82
736,76494,15,85
737,76496,19,82
738,76509,24,84
739,76512,17,85
740,76513,16,81
741,76519,13,79
742,76521,16,87
743,76539,23,85
744,76541,26,83
745,76541,10,82
746,76552,18,85
747,76565,13,87
748,76576,19,82
749,76577,17,83
750,76577,13,84
751,76578,13,83
752,76583,25,83
753,76584,14,83
754,76589,12,83
755,76590,17,82
756,76598,27,84
757,76603,14,86
758,76613,19,76
759,76618,18,81
760,76622,14,82
761,76631,11,82
762,76634,9,83
763,76637,29,84
764,76639,23,84
765,76641,16,82
766,76651,15,79
767,76667,21,82
768,76673,15,84
769,76677,30,86
770,76707,11,83
771,76713,25,80
772,76715,13,81
773,76717,13,85
774,76725,10,85
775,76737,14,81
776,76744,10,85
777,76749,19,83
778,76775,16,82
779,76780,20,82
780,76805,27,84
781,76814,10,84
782,76817,21,80
783,76818,14,80
784,76822,16,81
785,76822,20,82
786,76827,14,84
787,76835,15,82
788,76842,18,83
789,76856,19,88
790,76857,19,84
791,76858,14,77
792,76859,19,82
793,76862,19,83
794,76863,17,78
795,76883,29,82
796,76886,18,77
797,76891,9,79
798,76893,12,78
799,76915,16,87
800,76942,17,79
801,76943,25,83
802,76949,15,87
803,76949,16,80
804,76949,20,83
805,76953,10,82
806,76956,13,83
807,76959,18,84
808,76975,18,82
809,76980,13,82
810,76982,22,83
811,76982,19,81
812,76983,19,85
813,77008,14,83
814,77011,23,88
815,77015,19,83
816,77022,12,86
817,77024,21,83
818,77025,14,87
819,77025,7,84
820,77032,31,83
821,77038,16,83
822,77042,11,80
823,77052,17,83
824,77058,19,86
825,77076,19,79
826,77086,24,82
827,77088,19,82
828,77101,13,85
829,77102,22,88
830,77109,21,82
831,77112,15,81
832,77114,21,79
833,77116,14,80
834,77120,14,82
835,77124,13,82
836,77132,17,87
837,77135,15,80
838,77138,24,84
839,77150,24,79
840,77156,10,81
841,77165,17,84
842,77168,23,81
843,77181,32,81
844,77182,15,84
845,77187,16,82
846,77222,15,83
847,77254,22,84
848,77272,21,81
849,77273,18,84
850,77276,12,80
851,77276,13,85
852,77278,18,83
853,77281,14,83
854,77283,15,78
855,77288,24,86
856,77307,19,81
857,77308,14,87
858,77308,11,80
859,77313,18,86
860,77317,16,83
861,77323,18,82
862,77325,20,83
863,77334,20,81
864,77340,25,76
865,77344,16,80
866,77348,19,78
867,77348,16,83
868,77382,16,84
869,77383,19,82
870,77386,20,86
871,77388,19,82
872,77395,13,82
873,77400,17,82
874,77405,16,80
875,77418,22,80
876,77456,15,84
877,77476,15,80
878,77481,21,83
879,77488,10,78
880,77493,26,84
881,77497,20,85
882,77499,11,81
883,77507,10,82
884,77514,18,81
885,77524,11,75
886,77533,10,84
887,77549,16,80
888,77553,19,82
889,77553,23,82
890,77557,12,79
891,77562,8,85
892,77595,7,83
893,77601,23,83
894,77605,18,85
895,77605,7,81
896,77612,15,82
897,77626,16,77
898,77630,22,81
899,77634,4,82
900,77634,9,84
901,77653,16,84
902,77654,16,86
903,77676,11,83
904,77681,28,84
905,77688,18,85
906,77691,13,85
907,77700,13,83
908,77705,17,84
909,77730,23,86
910,77736,16,84
911,77750,17,87
912,77753,12,77
913,77763,10,86
914,77766,23,83
915,77781,17,85
916,77787,20,79
917,77790,11,76
918,77823,30,84
919,77824,20,82
920,77848,15,81
921,77855,23,84
922,77873,9,83
923,77884,26,86
924,77903,21,88
925,77980,21,81
926,77989,13,79
927,78005,11,84
928,78018,16,84
929,78036,8,82
930,78039,16,81
931,78045,11,79
932,78070,21,83
933,78080,21,82
934,78081,14,85
935,78109,14,83
936,78116,14,81
937,78149,22,86
938,78172,18,87
939,78173,16,82
940,78179,15,79
941,78183,18,82
942,78191,14,80
943,78201,15,79
944,78273,11,80
945,78292,12,79
946,78298,16,87
947,78308,14,80
948,78312,13,84
949,78314,19,82
950,78328,7,80
951,78335,18,80
952,78370,17,82
953,78373,15,81
954,78374,15,83
955,78408,13,83
956,78416,26,86
957,78423,22,81
958,78451,28,84
959,78471,15,88
960,78483,19,81
961,78502,18,81
962,78507,16,81
963,78512,15,82
964,78518,16,82
965,78537,18,78
966,78556,11,82
967,78568,15,80
968,78584,21,81
969,78590,19,85
970,78627,10,81
971,78661,13,84
972,78676,7,74
973,78714,21,83
974,78723,17,87
975,78737,10,77
976,78821,17,86
977,78867,22,79
978,79023,14,82
979,79029,14,82
980,79069,13,74
981,79070,19,83
982,79071,12,84
983,79095,18,80
984,79140,10,84
