,objective_function,edges_similarity,nodes_similarity
463,49833,37,81
464,49838,42,81
465,49843,36,86
466,49846,36,81
467,49848,39,85
468,49863,40,83
469,49870,38,82
470,49871,34,80
471,49873,44,84
472,49876,43,85
473,49876,43,82
474,49880,37,82
475,49880,40,83
476,49892,39,79
477,49895,44,87
478,49907,41,82
479,49925,41,85
480,49933,45,84
481,49933,42,82
482,49935,40,83
483,49940,35,82
484,49953,39,82
485,49958,42,80
486,49963,42,83
487,49964,40,82
488,49967,34,81
489,49973,36,81
490,49973,43,83
491,49988,33,83
492,49994,42,82
493,49997,38,80
494,50014,40,81
495,50020,41,81
496,50021,40,84
497,50022,35,83
498,50025,38,85
499,50027,41,83
500,50042,34,78
501,50044,44,82
502,50045,41,80
503,50052,47,80
504,50055,33,81
505,50055,39,85
506,50057,43,83
507,50058,46,84
508,50058,31,82
509,50059,42,87
510,50064,41,80
511,50067,44,83
512,50068,37,83
513,50070,42,84
514,50071,41,80
515,50071,43,83
516,50074,46,81
517,50074,38,82
518,50081,44,83
519,50081,48,84
520,50083,45,84
521,50085,42,83
522,50088,32,81
523,50094,44,85
524,50095,43,84
525,50101,40,82
526,50101,43,82
527,50102,43,86
528,50103,44,84
529,50109,46,86
530,50110,39,80
531,50111,51,85
532,50112,42,85
533,50116,33,77
534,50126,41,84
535,50129,47,83
536,50136,47,84
537,50138,36,82
538,50140,32,81
539,50141,47,87
540,50148,48,87
541,50148,37,80
542,50157,52,86
543,50157,38,81
544,50160,37,79
545,50173,37,82
546,50174,35,81
547,50179,36,81
548,50183,45,84
549,50193,38,81
550,50194,40,84
551,50194,36,84
552,50195,35,81
553,50195,49,86
554,50198,38,81
555,50200,47,83
556,50202,41,83
557,50203,55,82
558,50209,38,82
559,50209,42,84
560,50210,39,85
561,50210,37,87
562,50212,45,83
563,50217,39,83
564,50222,42,86
565,50230,42,84
566,50230,36,83
567,50231,40,84
568,50245,45,83
569,50246,39,84
570,50247,41,82
571,50249,39,81
572,50252,39,81
573,50253,40,82
574,50258,42,85
575,50261,45,83
576,50263,33,83
577,50263,43,84
578,50265,41,81
579,50267,44,87
580,50267,45,85
581,50271,46,83
582,50272,46,87
583,50274,36,82
584,50276,38,84
585,50277,40,82
586,50277,43,86
587,50277,38,83
588,50281,32,81
589,50282,35,79
590,50288,43,85
591,50289,39,83
592,50290,41,83
593,50293,32,82
594,50299,44,84
595,50302,42,84
596,50314,38,83
597,50317,40,84
598,50325,40,82
599,50328,37,84
600,50331,31,84
601,50335,39,81
602,50340,39,83
603,50340,45,83
604,50341,40,85
605,50342,36,82
606,50343,32,82
607,50344,37,81
608,50348,35,80
609,50349,40,85
610,50349,43,82
611,50359,38,79
612,50363,40,81
613,50369,38,81
614,50373,31,79
615,50376,40,83
616,50376,39,80
617,50380,39,85
618,50380,41,85
619,50388,40,85
620,50390,43,83
621,50391,42,83
622,50391,38,82
623,50393,40,85
624,50393,32,80
625,50398,46,84
626,50398,47,81
627,50404,39,81
628,50408,46,84
629,50408,37,81
630,50415,40,81
631,50431,47,82
632,50435,34,84
633,50437,47,82
634,50439,38,83
635,50440,39,82
636,50447,43,82
637,50448,41,81
638,50449,39,81
639,50450,39,80
640,50456,48,83
641,50459,40,83
642,50461,36,81
643,50462,43,83
644,50464,40,85
645,50464,31,81
646,50464,43,86
647,50466,42,81
648,50470,41,84
649,50473,35,83
650,50478,33,80
651,50478,40,80
652,50478,34,81
653,50478,44,85
654,50479,33,78
655,50479,39,81
656,50481,43,83
657,50494,38,81
658,50496,43,86
659,50497,38,85
660,50498,31,80
661,50506,41,81
662,50512,36,81
663,50512,36,81
664,50515,34,82
665,50515,40,88
666,50519,46,82
667,50533,43,85
668,50537,45,82
669,50538,38,81
670,50542,41,84
671,50543,42,81
672,50543,45,85
673,50545,42,84
674,50557,32,81
675,50559,40,87
676,50566,45,84
677,50575,36,82
678,50580,35,80
679,50582,48,85
680,50583,38,84
681,50584,43,81
682,50586,35,79
683,50588,46,87
684,50595,39,84
685,50596,42,84
686,50602,36,84
687,50604,37,84
688,50608,41,82
689,50613,38,78
690,50618,41,83
691,50620,38,81
692,50621,41,84
693,50624,34,77
694,50628,38,83
695,50630,34,78
696,50631,36,81
697,50632,46,83
698,50635,41,86
699,50637,44,86
700,50638,36,84
701,50641,37,83
702,50644,38,82
703,50644,41,84
704,50649,35,80
705,50655,32,80
706,50659,38,79
707,50664,35,82
708,50666,42,85
709,50669,31,78
710,50669,39,83
711,50670,33,79
712,50673,33,84
713,50682,31,78
714,50699,36,82
715,50700,44,82
716,50703,40,83
717,50705,41,82
718,50712,40,83
719,50712,38,81
720,50713,38,81
721,50715,37,81
722,50717,40,81
723,50718,43,82
724,50724,37,83
725,50729,42,84
726,50735,40,81
727,50740,43,84
728,50747,45,84
729,50749,38,82
730,50760,39,78
731,50774,43,84
732,50778,29,80
733,50779,28,77
734,50782,38,84
735,50783,34,80
736,50792,38,80
737,50799,45,87
738,50800,39,83
739,50804,39,82
740,50804,36,82
741,50809,45,81
742,50811,42,83
743,50838,34,77
744,50841,48,85
745,50842,36,79
746,50843,36,85
747,50854,40,83
748,50856,49,85
749,50857,42,81
750,50857,40,83
751,50859,39,80
752,50860,41,85
753,50862,43,83
754,50863,32,81
755,50863,33,80
756,50865,34,81
757,50867,44,82
758,50870,39,82
759,50873,41,80
760,50873,31,81
761,50873,38,82
762,50877,38,82
763,50886,47,84
764,50905,38,86
765,50908,40,82
766,50911,38,84
767,50919,49,84
768,50919,38,83
769,50919,40,82
770,50925,40,81
771,50933,35,83
772,50934,36,82
773,50935,42,80
774,50939,43,85
775,50948,37,81
776,50953,31,80
777,50954,45,85
778,50956,49,83
779,50961,46,85
780,50967,36,82
781,50974,38,80
782,50991,37,81
783,51006,39,80
784,51006,43,83
785,51008,38,85
786,51012,37,84
787,51013,44,83
788,51018,39,79
789,51022,33,82
790,51024,40,82
791,51024,41,80
792,51034,40,81
793,51041,35,80
794,51052,40,86
795,51055,40,82
796,51056,37,84
797,51068,35,84
798,51073,52,86
799,51080,43,86
800,51083,48,83
801,51088,37,81
802,51096,40,83
803,51101,41,77
804,51111,39,83
805,51112,43,83
806,51117,30,80
807,51117,37,78
808,51122,35,82
809,51132,38,84
810,51139,36,80
811,51142,39,79
812,51144,34,82
813,51150,33,78
814,51153,35,82
815,51154,38,85
816,51155,39,81
817,51161,36,82
818,51164,32,83
819,51174,41,83
820,51178,39,83
821,51187,39,85
822,51189,35,79
823,51218,40,85
824,51220,40,85
825,51221,39,82
826,51222,33,79
827,51222,35,83
828,51238,39,81
829,51242,35,80
830,51242,40,83
831,51249,43,83
832,51257,46,85
833,51261,35,79
834,51264,34,82
835,51277,41,81
836,51291,41,81
837,51298,40,82
838,51300,40,84
839,51326,35,85
840,51328,35,80
841,51329,43,83
842,51339,41,80
843,51342,36,76
844,51355,35,82
845,51358,31,79
846,51360,38,80
847,51369,37,83
848,51370,36,81
849,51383,37,83
850,51387,37,83
851,51389,42,83
852,51394,31,81
853,51397,47,87
854,51403,41,85
855,51413,38,82
856,51431,41,85
857,51432,38,86
858,51433,35,80
859,51450,34,83
860,51462,41,80
861,51475,37,82
862,51483,36,82
863,51487,43,82
864,51501,33,78
865,51508,38,82
866,51511,41,84
867,51517,37,81
