,objective_function,edges_similarity,nodes_similarity
353,49448,23,80
354,49451,13,77
355,49455,6,79
356,49463,10,82
357,49465,26,81
358,49476,17,78
359,49477,16,78
360,49478,8,78
361,49481,23,79
362,49484,26,82
363,49484,19,83
364,49487,29,81
365,49488,12,77
366,49490,14,80
367,49497,13,79
368,49498,11,79
369,49498,15,81
370,49498,19,80
371,49498,24,82
372,49499,12,83
373,49504,7,77
374,49504,19,77
375,49507,8,77
376,49509,15,82
377,49510,23,81
378,49510,13,81
379,49517,16,79
380,49521,11,75
381,49523,25,77
382,49523,11,75
383,49528,25,83
384,49530,12,79
385,49543,22,82
386,49546,10,74
387,49548,23,80
388,49552,19,79
389,49552,10,83
390,49557,23,77
391,49559,17,79
392,49559,7,77
393,49560,16,80
394,49562,16,78
395,49566,17,84
396,49583,22,80
397,49584,23,79
398,49585,28,79
399,49588,13,80
400,49589,25,80
401,49589,21,79
402,49591,13,77
403,49606,12,80
404,49606,18,80
405,49611,18,78
406,49618,4,82
407,49620,24,78
408,49633,8,81
409,49636,29,80
410,49646,11,77
411,49650,21,79
412,49651,11,76
413,49657,8,77
414,49662,13,80
415,49669,19,78
416,49670,21,78
417,49671,12,78
418,49672,10,82
419,49674,14,77
420,49676,18,75
421,49682,20,82
422,49682,10,76
423,49689,30,89
424,49692,12,77
425,49697,15,81
426,49697,17,76
427,49698,12,76
428,49700,29,81
429,49703,10,78
430,49706,11,77
431,49707,8,77
432,49711,13,80
433,49711,21,79
434,49721,22,82
435,49727,24,75
436,49732,15,80
437,49733,16,74
438,49733,11,77
439,49744,9,83
440,49749,11,78
441,49760,17,77
442,49764,19,77
443,49765,27,82
444,49782,21,80
445,49785,21,76
446,49787,18,78
447,49787,17,80
448,49789,26,75
449,49790,25,80
450,49790,11,79
451,49790,18,78
452,49793,5,80
453,49795,14,85
454,49797,12,81
455,49804,11,79
456,49809,9,78
457,49812,14,77
458,49817,20,76
459,49822,18,75
460,49824,6,76
461,49829,26,81
462,49831,11,75
463,49832,18,77
464,49833,12,78
465,49838,9,78
466,49843,20,76
467,49846,36,79
468,49848,18,79
469,49863,15,76
470,49870,21,80
471,49871,13,79
472,49873,25,83
473,49876,12,77
474,49876,23,80
475,49880,13,81
476,49880,11,78
477,49892,16,77
478,49895,13,80
479,49907,7,78
480,49925,19,78
481,49933,19,80
482,49933,27,81
483,49935,29,80
484,49940,26,77
485,49953,14,78
486,49958,24,72
487,49963,9,78
488,49964,11,77
489,49967,10,78
490,49973,11,78
491,49973,7,83
492,49988,18,78
493,49994,19,79
494,49997,10,79
495,50014,11,79
496,50020,9,81
497,50021,8,77
498,50022,11,75
499,50025,10,82
500,50042,16,76
501,50044,10,79
502,50045,14,78
503,50052,25,84
504,50055,27,82
505,50055,18,78
506,50057,5,80
507,50058,23,79
508,50058,18,80
509,50059,18,80
510,50064,24,80
511,50067,30,76
512,50068,25,85
513,50070,21,81
514,50071,7,72
515,50071,10,80
516,50074,13,80
517,50074,13,73
518,50081,29,79
519,50081,27,82
520,50083,16,76
521,50085,14,76
522,50088,17,74
523,50094,23,77
524,50095,12,71
525,50101,14,79
526,50101,9,80
527,50102,17,76
528,50103,22,80
529,50109,14,74
530,50110,30,78
531,50111,9,77
532,50112,10,75
